institution_name,Fiscal Year,timestep,reverse_timestep,EUI-Adjusted Floor Space,gsf,Weighted Campus User,fte_per_gsf,Maintained Acres,Total Enrollment (FTE)2,Faculty (FTE)3,Staff (FTE)4,E-Grid Pre-2006,E-Grid,Scope 1 Emissions,Scope 2 Emissions,Scope 3 Emissions,Gross Emissions,Net Emissions,net_mtcde_per_gsf,Stationary Emissions,Fleet Emissions,Refrigerant Emissions,Agricultural Emissions,Purchased Electric Emissions,Purchased Steam Emissions,Purchased Chilled Water Emissions,Student Community Emissions,Employee Commuting Emissions,Other Travel Emissions,Waste Emissions,Wasterwater  Emissions,Paper Emissions,T&D Losses Emissions,Landfilled Waste,Incinerated Waste,C&D Waste,Recycling,Compost,Other,Waste
f,2013,11,8,"766,697",766697,"4,451",0.0058,43,5338,270,326,NEWE,NEWE,2520.590774,2887.064896,4987.731894,10395.38756,"10,395.39",0.01356,2314.336111,129.4525656,73.48105676,3.32104042,2887.064896,0,0,2767.635393,765.9935636,1088.30317,-11.1012,5.791456942,79.62646396,291.4830463,370.04,0,0,88,8,30,496.04
f,2016,14,5,"869,051",869051,"4,484",0.00516,43,5340,289,350,NEWE,NEWE,3277.15334,2750.387533,6982.486404,13010.02728,"13,010.03",0.01497,2322.10345,122.8141014,828.0873025,4.148486084,2750.387533,0,0,4224.132983,1510.219543,1046.236698,-14.1177,10.21593387,76.50107197,129.2978748,470.59,0,48,136.72,0,13,668.44
f,2015,13,6,"869,051",869051,"4,518",0.0052,43,5373,308,343,NEWE,NEWE,3704.500399,3033.857424,5809.320678,12547.6785,"12,547.68",0.01444,2964.911744,123.0814532,612.1954781,4.311723664,3033.857424,0,0,3625.935223,878.2239877,1071.179351,-12.0051,8.828718319,78.48995778,158.6685404,400.17,0,19,133.86,0,9,561.7
f,2018,16,3,"966,542",966542,"4,575",0.00473,43,5449,300,351,NEWE,NEWE,3430.795992,3048.658908,7664.277723,14143.73262,"14,143.73",0.01463,2913.196333,112.6243584,401.3784451,3.596855641,3048.658908,0,0,5027.574361,1413.286764,1016.317025,-12.6858,9.185542983,54.12610663,156.4737225,422.86,0,21,185.55,0,6,635.4845
f,2019,17,2,"966,542",966542,"4,416",0.00457,43,5332,207,349,NEWE,NEWE,3441.18733,3080.242507,7506.051633,14027.48147,"14,027.48",0.01451,3319.277187,103.5422117,14.62472519,3.743206575,3080.242507,0,0,4918.249559,1207.208592,1088.448586,-11.9241,8.547197252,137.4270342,158.0947642,397.47,0,23,162.11,0,7,589.365
f,2017,15,4,"966,542",966542,"4,537",0.00469,43,5410,287,352,NEWE,NEWE,3320.14591,2983.355232,6914.932569,13218.43371,"13,218.43",0.01368,2928.020251,141.3372002,245.8969597,4.891498517,2983.355232,0,0,4280.487663,1510.584963,922.0528297,-12.9021,9.110239055,65.34910512,140.2498691,430.07,0,29,163.9,0,7,629.99
f,2020,18,1,"966,542",966542,"4,274",0.00442,43,5160,189,350,NEWE,NEWE,3506.537071,2852.016669,5283.044826,11641.59857,"11,641.60",0.01204,3392.748505,95.77947571,14.62472519,3.384365343,2852.016669,0,0,3570.821366,903.3753087,616.7724183,-10.4262,6.959633806,49.16132351,146.3809754,347.54,0,23,118.603,0,17,506.153
f,2021,19,0,"966,542",966542,"4,065",0.00421,43,4862,208,351,NEWE,NEWE,3340.93812,2866.22332,2172.967475,8380.128914,"8,380.13",0.00867,3257.162509,71.87845921,8.052625345,3.844526452,2866.22332,0,0,1370.472062,313.0743566,1.559052295,-10.4262,5.285201106,345.8928648,147.1101379,347.54,0,23,110.81,0,9,489.56
g,2011,9,10,"704,322",704322,"1,516",0.00215,62,1457,210,205,CALI,CAMX,1398.926463,2153.085507,4422.978959,7974.990929,"7,974.99",0.01132,1328.965924,43.36985702,25.24849942,1.342183227,2153.085507,0,0,1398.287708,749.3012519,2100.228341,-19.0905,11.02892488,25.13923894,158.0839939,636.35,0,0,393.4395,0,0,1029.7895
g,2014,12,7,"711,827",711827,"1,562",0.00219,62,1480,221,220,CALI,CAMX,1271.205866,2218.9924,4364.345691,7854.543957,"7,854.54",0.01103,1213.717682,44.41337556,11.73262523,1.342183227,2218.9924,0,0,1368.800016,792.7846189,2063.718838,-10.14,12.40582389,25.13923894,111.6371557,338,0,0,379.2615,0,0,717.2615
g,2013,11,8,"711,827",711827,"1,513",0.00213,62,1437,220,211,CALI,CAMX,1347.66395,2522.123656,3644.921293,7514.708899,"7,514.71",0.01056,1288.355145,37.21542292,20.75119912,1.342183227,2522.123656,0,0,1361.112145,773.6160553,1338.858676,-19.0905,11.02892488,25.13923894,154.2567524,636.35,0,0,393.4395,0,0,1029.7895
g,2012,10,9,"711,827",711827,"1,504",0.00211,62,1431,213,212,CALI,CAMX,1344.151184,2357.392909,3714.075585,7415.619678,"7,415.62",0.01042,1264.193965,43.32901693,35.28601799,1.342183227,2357.392909,0,0,1358.196233,766.4698866,1428.150221,-19.0905,11.02892488,25.13923894,144.1815803,636.35,0,0,393.4395,0,0,1029.7895
